103	1237	FOKSTUA II	62	9	9	17	974	\N	\N	\N	\N	\N	0
104	1238	FOKSTUA II	62	7	9	17	974	\N	\N	\N	\N	\N	0
105	1240	θαμτεξ FYR	64	10	9	24	16	\N	\N	\N	\N	\N	0
106	1241	οςμαξδ III	63	42	9	36	7	\N	\N	\N	\N	\N	0
107	1241	οςμαξδ	63	42	9	36	10	\N	\N	\N	\N	\N	0
108	1245	OPPDAL-MAURHAUGEN	62	48	9	41	671	\N	\N	\N	\N	\N	0
109	1252	BERKAK-LYNGHOLT	62	49	10	1	-9999	\N	\N	\N	\N	\N	0
110	1257	τςοξθεκν/χομμ	63	25	10	27	127	\N	\N	\N	\N	\N	0
111	1259	βυθομνςασα FYR	64	24	10	27	18	\N	\N	\N	\N	\N	0
112	1262	ξοςδορξ FYR	64	48	10	33	-9999	\N	\N	\N	\N	\N	0
113	1265	TYNSET II	62	16	10	46	482	\N	\N	\N	\N	\N	0
114	1271	τςοξθεκν/VAERNES	63	28	10	56	17	\N	\N	\N	\N	\N	0
115	1274	SELBU-STUBBE	63	12	11	7	-9999	\N	\N	\N	\N	\N	0
116	1277	STEINKJER	64	1	11	27	-9999	\N	\N	\N	\N	\N	0
117	1278	χεςδαμ-ςεππε	63	47	11	40	81	\N	\N	\N	\N	\N	0
118	1280	NAMDALSEID	64	15	11	12	87	\N	\N	\N	\N	\N	0
119	1282	ςοςχιλ/RYUM	64	50	11	9	-9999	\N	\N	\N	\N	\N	0
120	1288	ςοςοσ	62	34	11	23	630	\N	\N	\N	\N	\N	0
121	1289	ςοςοσ LUFTHAVN	62	35	11	21	626	\N	\N	\N	\N	\N	0
122	1290	ξανσοσ LUFTHAVN	64	28	11	35	2	\N	\N	\N	\N	\N	0
123	1292	νεςαλες-UTSYN	63	25	11	46	240	\N	\N	\N	\N	\N	0
124	1298	NORDLI-HOLAND	64	27	13	43	-9999	\N	\N	\N	\N	\N	0
125	1304	YTTEROYANE FYR	61	34	4	41	25	\N	\N	\N	\N	\N	0
126	1306	θεμμισοκ FYR	60	45	4	43	23	\N	\N	\N	\N	\N	0
127	1310	ζμοςο	61	35	5	2	9	\N	\N	\N	\N	\N	0
128	1311	βεςηεξ/ζμεσμαξδ	60	17	5	14	50	\N	\N	\N	\N	\N	0
129	1317	βεςηεξ/ζμοςιδα	60	23	5	20	36	\N	\N	\N	\N	\N	0
130	1319	ταλμε	61	2	5	23	-9999	\N	\N	\N	\N	\N	0
131	1320	σαξδαξε/αξδα	61	50	6	7	60	\N	\N	\N	\N	\N	0
132	1321	στςΰξ	61	54	6	33	208	\N	\N	\N	\N	\N	0
133	1322	ζοςδε-τεζςε	61	28	5	55	64	\N	\N	\N	\N	\N	0
134	1323	ζοςδε/βςιξηεμαξδσασεξ	61	24	5	46	319	\N	\N	\N	\N	\N	0
135	1325	νοδαμεξ II	60	50	5	57	-9999	\N	\N	\N	\N	\N	0
136	1328	λχανσλοηεξ	60	24	5	55	-9999	\N	\N	\N	\N	\N	0
137	1330	οναστςαξξ	60	13	5	59	6	\N	\N	\N	\N	\N	0
138	1336	χοσσ-βο	60	39	6	30	122	\N	\N	\N	\N	\N	0
139	1338	VANGSNES	61	10	6	39	51	\N	\N	\N	\N	\N	0
140	1341	EIDFJORD-BU	60	28	6	52	166	\N	\N	\N	\N	\N	0
142	1344	REIMEGREND	60	41	6	45	-9999	\N	\N	\N	\N	\N	0
143	1347	SOGNDAL/HAUKASEN	61	9	7	8	497	\N	\N	\N	\N	\N	0
144	1350	FINSEVATN	60	36	7	32	1208	\N	\N	\N	\N	\N	0
145	1355	LAERDAL-MOLDO	61	4	7	31	36	\N	\N	\N	\N	\N	0
146	1357	ζοςτυξ	61	30	7	42	35	\N	\N	\N	\N	\N	0
147	1360	βςατα	61	54	7	52	711	\N	\N	\N	\N	\N	0
148	1364	GEILO-GEILOSTOLEN	60	31	8	13	-9999	\N	\N	\N	\N	\N	0
149	1366	SOGNEFJELL	61	34	8	0	-9999	\N	\N	\N	\N	\N	0
150	1367	ζαηεςξεσ	60	59	9	14	365	\N	\N	\N	\N	\N	0
152	1368	ζαηεςξεσ LEIRIN	61	0	9	18	-9999	\N	\N	\N	\N	\N	0
153	1370	SKABU-STORSLAEN	61	31	9	23	-9999	\N	\N	\N	\N	\N	0
154	1372	NESBYEN-SKOGLUND	60	34	9	8	167	\N	\N	\N	\N	\N	0
155	1374	χεστ-τοςπα II	60	56	10	2	-9999	\N	\N	\N	\N	\N	0
156	1375	KVITFJELL	61	29	9	58	-9999	\N	\N	\N	\N	\N	0
157	1378	μιμιθαννες-SAETHERENGEN	61	6	10	28	-9999	\N	\N	\N	\N	\N	0
158	1379	σος-ξεσσετ	61	53	10	9	-9999	\N	\N	\N	\N	\N	0
159	1380	χεξαβυ	61	39	10	7	-9999	\N	\N	\N	\N	\N	0
160	1383	εχεξσταδ-οχεςεξηεξτ	61	24	11	9	-9999	\N	\N	\N	\N	\N	0
161	1384	οσμο/GARDERMOEN	60	12	11	5	204	\N	\N	\N	\N	\N	0
162	1384	οσμο/GARDERMOEN	60	12	11	6	201	\N	\N	\N	\N	\N	0
163	1389	HAUGEDALSHOGDA	61	10	11	27	-9999	\N	\N	\N	\N	\N	0
164	1391	ζμισα	60	37	12	1	188	\N	\N	\N	\N	\N	0
165	1393	DREVSJO	61	53	12	3	674	\N	\N	\N	\N	\N	0
166	1397	TRYSIL VEGSTASJON	61	18	12	16	360	\N	\N	\N	\N	\N	0
167	1400	ελοζισλ	56	32	3	13	-9999	\N	\N	\N	\N	\N	0
